name;Current Players;24h Peak;All-Time Peak
Counter-Strike 2;935,890;1,538,737;1,818,773
Dota 2;455,208;625,447;1,295,114
HELLDIVERS™ 2;174,021;180,560;458,709
Source SDK Base 2007;171,529;186,991;221,857
PUBG: BATTLEGROUNDS;166,852;661,182;3,257,248
Rust;105,506;117,367;245,243
Stardew Valley;104,473;133,671;236,614
Apex Legends;103,534;341,544;624,473
Fallout 4;100,023;101,749;472,962
Tom Clancy's Rainbow Six Siege;95,434;100,093;201,933
Call of Duty®;92,316;97,030;491,670
Grand Theft Auto V;85,047;130,482;364,548
Baldur's Gate 3;77,026;78,721;875,343
Destiny 2;74,349;84,260;316,750
Football Manager 2024;65,727;67,085;89,478
Lost Ark;63,530;67,417;1,325,305
Crab Game;63,039;65,959;69,519
Path of Exile;58,832;63,193;211,637
Team Fortress 2;54,974;60,470;253,997
War Thunder;52,667;72,328;121,318
Unturned;51,166;54,334;112,703
RimWorld;44,372;46,440;62,257
Fallout 76;44,303;44,923;44,923
Warframe;43,894;59,283;189,837
DayZ;42,889;49,796;73,418
EA SPORTS FC™ 24;42,517;54,482;107,359
Wallpaper Engine;40,944;101,096;150,375
Hearts of Iron IV;37,021;48,919;78,108
ELDEN RING;36,971;50,574;953,426
Governor of Poker 3;36,834;38,235;38,235
Sid Meier's Civilization VI;36,801;48,489;162,657
Dead by Daylight;33,492;40,490;105,093
Overwatch® 2;31,958;54,563;75,608
Euro Truck Simulator 2;31,396;42,035;69,754
Rocket League;31,059;32,007;147,632
The Sims™ 4;30,305;33,057;96,328
Spacewar;30,184;40,482;102,705
Lethal Company;29,175;30,546;240,817
FINAL FANTASY XIV Online;27,758;29,005;95,150
Farming Simulator 22;26,403;35,379;105,636
Palworld;26,239;61,722;2,101,867
PAYDAY 2;25,642;28,552;247,709
Red Dead Redemption 2;25,587;38,723;77,655
Fallout: New Vegas;24,836;25,867;51,038
Terraria;24,648;39,373;489,886
Total War: WARHAMMER III;24,249;25,394;166,754
NARAKA: BLADEPOINT;23,532;316,574;372,076
No Rest for the Wicked;23,237;33,983;33,983
Garry's Mod;22,165;26,267;73,863
VRChat;22,124;28,382;52,956
ARK: Survival Ascended;21,977;22,631;98,047
Cyberpunk 2077;21,618;31,209;1,054,388
The Elder Scrolls Online;21,504;23,223;49,234
Project Zomboid;20,656;21,733;65,505
Black Desert;20,477;21,963;60,395
Balatro;20,402;20,525;37,977
ARK: Survival Evolved;20,359;28,273;248,405
tModLoader;20,149;34,657;46,667
Hunt: Showdown;20,077;22,973;45,091
Dragon's Dogma 2;19,717;24,033;228,585
The Elder Scrolls V: Skyrim Special Edition;19,532;20,054;69,906
Supermarket Simulator;19,256;20,979;51,363
7 Days to Die;19,146;27,612;96,827
The Planet Crafter;18,894;20,123;26,248
MIR4;18,838;20,285;97,173
Squad;18,787;24,030;26,104
Yu-Gi-Oh! Master Duel;18,687;40,981;262,689
Monster Hunter: World;18,681;91,816;334,684
Age of Empires II: Definitive Edition;18,544;19,638;38,725
BeamNG.drive;18,433;22,665;25,792
Crosshair X;17,675;19,451;23,516
Summoners War;17,596;20,454;21,811
Valheim;17,231;18,340;502,387
THE FINALS;17,166;18,050;242,619
Myth of Empires;16,918;23,455;47,654
Sid Meier's Civilization V;16,637;17,227;91,363
Europa Universalis IV;16,331;17,208;48,165
Mount & Blade II: Bannerlord;15,964;24,185;248,216
Geometry Dash;15,868;16,971;88,346
Brawlhalla;15,720;16,257;34,816
The Binding of Isaac: Rebirth;15,673;21,699;70,701
Soundpad;15,262;16,631;21,920
Crusader Kings III;15,219;16,121;98,872
Phasmophobia;14,945;17,044;112,717
Arma 3;13,843;15,245;56,679
Content Warning;13,843;15,633;204,439
Factorio;13,706;14,478;34,700
Horizon Forbidden West™ Complete Edition;13,495;14,690;40,462
Left 4 Dead 2;13,384;23,279;162,399
Assetto Corsa;13,256;15,229;19,317
Don't Starve Together;12,588;38,839;115,925
The Witcher 3: Wild Hunt;12,462;18,219;103,329
SMITE;12,451;14,763;31,169
Stellaris;12,197;13,309;68,602
Football Manager 2023;11,575;12,003;83,715
SCUM;11,437;20,601;68,322
Enshrouded;11,408;12,603;160,405
Deep Rock Galactic;11,339;18,148;46,687
Bloons TD 6;11,251;12,156;53,943
Satisfactory;11,228;12,220;34,238
